REALPROP,FSNETINC,TANF_IND,RAWERND,FSTOTDE2,SHELDED,FSTOTDED,FSSLTDE2,FSGA,FSWAGES,LIQRESOR,FSERNDE2,FSDIS,HWGT,FSSLTDED,FSASSET,CERTHHSZ,FSSSI,FSNELDER,WRK_POOR,FSERNDED,FSTANF,FSUNEARN,RAWNET,TPOV,FSUSIZE,FSEARN,FSSTDDE2,FSNONCIT,FSGRINC,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,298.0,0.0,0.0,305.0,172.0,305.0,171.0,0.0,0.0,0.0,0.0,1.0,808.3745990311855,171.0,0.0,1.0,603.0,0.0,0.0,0.0,0.0,603.0,298.0,74.0,1.0,0.0,201.0,0.0,603.0,1.0,0.0,1.0
0.0,326.0,0.0,144.0,394.0,91.0,394.0,91.0,0.0,720.0,0.0,216.0,0.0,811.9007636838924,91.0,0.0,2.0,0.0,0.0,1.0,144.0,0.0,0.0,326.0,65.0,2.0,720.0,201.0,0.0,720.0,0.0,0.0,1.0
0.0,504.0,0.0,0.0,134.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,1.0,869.2314375616089,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,638.0,504.0,78.0,1.0,0.0,134.0,1.0,638.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,109.0,1.0,8.0,142.0,0.0,142.0,0.0,0.0,42.0,0.0,8.0,0.0,747.5177605149188,0.0,0.0,1.0,0.0,0.0,1.0,8.0,209.0,209.0,109.0,31.0,1.0,42.0,134.0,0.0,251.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,159.0,0.0,138.0,787.0,319.0,787.0,318.0,0.0,688.0,0.0,205.0,0.0,771.1370055586899,318.0,0.0,4.0,0.0,0.0,1.0,137.0,0.0,258.0,157.0,57.0,4.0,688.0,208.0,0.0,946.0,0.0,0.0,1.0
0.0,232.0,0.0,43.0,346.0,164.0,346.0,164.0,0.0,0.0,0.0,65.0,0.0,795.045049260094,164.0,0.0,4.0,0.0,0.0,1.0,43.0,0.0,363.0,232.0,35.0,4.0,215.0,209.0,1.0,578.0,0.0,0.0,1.0
0.0,839.0,0.0,295.0,637.0,209.0,637.0,208.0,0.0,1476.0,0.0,442.0,0.0,978.4363172306392,208.0,0.0,3.0,0.0,0.0,1.0,295.0,0.0,0.0,838.0,107.0,3.0,1476.0,201.0,0.0,1476.0,0.0,0.0,1.0
0.0,1340.0,0.0,269.0,607.0,0.0,607.0,0.0,0.0,1344.0,555.0,268.0,1.0,1155.8391633729448,0.0,555.0,4.0,603.0,0.0,1.0,268.0,0.0,603.0,1339.0,117.0,4.0,1344.0,139.0,0.0,1947.0,0.0,0.0,1.0
0.0,967.0,0.0,275.0,409.0,0.0,409.0,0.0,0.0,1376.0,0.0,275.0,0.0,1003.1651133253492,0.0,0.0,2.0,0.0,0.0,1.0,275.0,0.0,0.0,967.0,125.0,2.0,1376.0,134.0,0.0,1376.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,184.0,11.0,383.0,22.0,0.0,0.0,5.0,0.0,0.0,747.4949387192786,221.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,184.0,11.0,9.0,5.0,0.0,44.0,0.0,184.0,0.0,0.0,1.0
0.0,242.0,0.0,0.0,441.0,308.0,441.0,307.0,0.0,0.0,0.0,0.0,0.0,790.9869308826654,307.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,683.0,242.0,84.0,1.0,0.0,201.0,0.0,683.0,0.0,0.0,1.0
0.0,403.0,0.0,165.0,426.0,110.0,426.0,99.0,0.0,0.0,0.0,248.0,0.0,878.9891790964731,99.0,0.0,5.0,0.0,0.0,1.0,165.0,0.0,0.0,390.0,43.0,5.0,829.0,243.0,1.0,829.0,0.0,0.0,1.0
0.0,469.0,0.0,0.0,134.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,1.0,864.8845205265526,0.0,0.0,1.0,603.0,0.0,0.0,0.0,0.0,603.0,469.0,74.0,1.0,0.0,134.0,0.0,603.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,417.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,704.5805438707989,417.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,534.0,0.0,0.0,310.0,176.0,310.0,176.0,0.0,0.0,0.0,0.0,0.0,869.2314375616088,176.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,844.0,534.0,103.0,1.0,0.0,201.0,0.0,844.0,0.0,0.0,1.0
